Nome,Nivel,Pontuacao
Alice,5,150.0
Bruno,3,80.5
Carla,4,120.0
Daniel,2,50.0
Eduardo,6,200.0
Fernanda,3,90.0
Gabriel,4,110.0
Helena,5,160.0
Igor,2,45.0
Juliana,3,85.0
Karina,4,130.0
Leonardo,5,155.0
Mariana,6,210.0
Nicolas,2,60.0
Olivia,3,95.0
Paulo,4,125.0
Quintino,5,165.0
Rafaela,3,70.0
Samuel,2,55.0
Tatiane,4,140.0
Nome,Nivel,Pontuacao
Leonardo,5,150.0
Mariana,6,220.0
Nicolas,2,65.0
Olivia,3,100.0
Paulo,4,130.0
Quintino,5,160.0
Rafaela,3,75.0
Samuel,2,60.0
Tatiane,4,145.0
Alice,5,160.0
Bruno,3,75.0
Carla,4,115.0
Daniel,2,55.0
Eduardo,6,210.0
Fernanda,3,85.0
Gabriel,4,120.0
Helena,5,170.0
Igor,2,50.0
Juliana,3,80.0
Karina,4,135.0
nome,nivel,pontuacao
Alice,10,2500.5
Bob,8,1800
Carlos,12,3200
Diana,15,4100.7
Elias,7,1200